Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;415,463897705078 ;347,583502197266         ;                10 ;415,4639    ;False             ;2125,275     ;47,76672         ;662,9912          ;153,039              ;624229,8
         2 ;428,090423583984 ;342,290378570557         ;                 8 ;428,0904    ;False             ;165,0672     ;50,26978         ;49,46538          ;6,637704             ;23647,68
         3 ;470,069915771484 ;345,407329559326         ;                 9 ;470,0699    ;False             ;4,938604     ;4,734131         ;0,9555228         ;2,207443             ;878,7416
         4 ;470,069915771484 ;344,410073852539         ;                 9 ;470,0699    ;False             ;4,958075     ;4,993195         ;0,89565           ;1,651178             ;714,6328
         5 ;470,069915771484 ;350,706997680664         ;                 9 ;470,0699    ;False             ;4,976148     ;4,780975         ;0,9482744         ;2,038042             ;841,4073
         6 ;470,069915771484 ;342,256555175781         ;                 9 ;470,0699    ;False             ;4,976265     ;4,75824          ;0,9341347         ;1,646174             ;686,96
         7 ;470,069915771484 ;372,736326599121         ;                 9 ;470,0699    ;False             ;4,975221     ;5,014404         ;0,9921859         ;2,076676             ;875,465
         8 ;470,069915771484 ;348,106727600098         ;                 9 ;470,0699    ;False             ;4,974867     ;5,105835         ;0,9743494         ;1,734292             ;686,9476
