Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;575739;72908,4627102154;9;269,1589;False;1341,549;47,10655;429,1598;116,2543;262286
2;1020993,0625;179388,291320659;10;317,1674;False;1779,595;51,5811;573,7223;3,704374;26213,58
3;1019175,5;229171,919057012;10;317,1674;False;1783,014;50,51242;571,6026;-60,6695;69405,48
4;1106037,875;417397,840267095;10;307,7701;False;1857,552;49,73682;595,4277;23,47659;510841,7
5;1268925,625;528635,87340809;10;321,5638;False;1986,858;48,73883;638,6595;97,79097;1018927
6;1262719,125;417984,119629054;10;267,5876;False;1988,688;49,40134;634,9507;49,30737;1128044
7;1616068;522914,881457959;10;220,4306;False;2252,153;47,9223;717,5659;3,103586;68247,24
8;1617560,75;460984,935479116;10;345,5262;True;2280;50,78662;709,4565;122,7098;5961736
9;1492382,25;405408,97313931;10;238,6107;False;2163,007;48,1405;689,9573;53,53007;1350215
10;1651113,625;591823,949566627;10;255,7663;True;2280;56,45679;724,1727;152,4616;2934072
11;1634242,125;685303,226243532;10;247,1773;True;2280;53,39014;716,7729;103,4253;1,222775E+07
12;1487462,5;618428,900967548;10;226,4482;False;2166,873;49,50299;686,4557;21,97167;452882,1
13;1330396,875;566719,644195709;10;314,2509;False;2034,141;50,39075;654,0338;-22,40607;209957,9
14;1542868,125;675093,425352883;10;316,0249;True;2280;41,72327;676,6965;328,1209;4761091
15;1109221,5;442028,942353955;10;297,58;False;1860,498;48,68237;596,1959;86,27032;281349,3
16;1635042,875;541097,720415844;10;357,0977;True;2280;42,92993;717,1241;296,463;5695386
17;1637817,625;617417,504885125;10;293,7083;True;2280;49,56873;718,3411;113,0598;672035,9
18;1658589,875;824330,336573458;10;270,3153;True;2280;48,67615;727,4517;276,4996;3466920
19;1575460,75;659960,393383108;10;276,7419;True;2280;47,88513;690,9916;267,1803;1,341272E+07
20;1273292;633801,905307609;9;271,6222;False;1989,647;44,55884;639,9589;71,69034;98455,04
21;1110725,5;588767,533453226;9;302,1775;False;1857,514;47,26392;597,9634;27,03159;716523,1
22;1526801,125;508686,14956665;9;312,4406;False;2203,326;49,84985;692,9528;120,1262;257896,7
23;1617486,25;684520,099854089;9;309,9617;False;2251,483;58,92993;718,4093;-28,91513;55566,66
24;1615810;772006,307954122;9;295,8479;True;2280;46,65552;708,6886;284,4045;1,224598E+07
25;1614598,625;801495,422034906;9;310,584;True;2280;46,85229;708,1573;299,0696;5263854
26;1380396,875;683311,700390625;9;309,9617;False;2078,108;50,01807;664,2565;27,69481;109537,8
27;1610344,125;855520,340625;8;285,6527;True;2280;43,66846;706,2913;299,0698;1,60071E+07
28;1628218,75;582698,450026044;8;326,905;True;2280;46,2561;714,131;315,9;1,531849E+07
29;1619926,875;677069,478909647;9;313,2668;True;2280;49,92896;710,4943;178,589;2208357
30;1615815,625;745497,08203125;8;274,7975;False;2254,062;53,01465;716,8461;27,43241;547310,3
