Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;647249,125;118751,856683197;8;253,8862;False;1419,069;40,14378;456,1083;179,8404;429989
2;998462,125;202976,872534141;9;395,1375;False;1777,065;41,62161;561,8604;103,828;39986,23
3;710214;220920,856778738;10;296,9644;False;1498,692;35,63765;473,8891;-5,576321;62993,95
4;1373406,75;199500,011295519;9;314,1835;False;2071,523;48,23868;662,9937;41,6975;267188,3
5;1204812,875;339670,760188851;9;279,7279;False;1944,55;44,56363;619,5845;65,98727;89341,45
6;1144993;340637,338621033;9;289,511;False;1903,137;43,29434;601,6346;82,38772;77839,02
7;787405,8125;242451,61232655;9;321,5795;False;1573,52;45,79315;500,4105;-78,35716;32351,63
8;1159107,75;235239,036906831;10;283,0211;False;1903,099;44,55969;609,0632;52,20834;110755
9;916482,5625;260391,557137282;10;310,378;False;1696,59;42,94733;540,191;28,46897;97149,57
10;1544642,875;517797,126236086;10;316,025;False;2207,283;45,85071;699,7938;-84,29865;37349,73
11;1185460,5;474249,1671875;10;325,7131;False;1946,428;47,6991;609,0441;-38,65353;224444,6
12;1651731,5;526401,332165086;9;346,416;True;2280;46,30573;724,4437;97,14072;4042062
13;1590993,125;559341,440521526;9;314,4202;True;2280;40,59412;697,804;316,4522;1,775141E+07
14;1566410,625;628388,943701172;9;321,4292;True;2280;45,2699;687,0222;267,6762;1,600098E+07
15;1564875,625;752267,010554677;9;370,6266;True;2280;45,29968;686,3489;150,2461;3167105
16;1629322,5;726196,69418757;8;388,597;False;2257,153;54,18201;721,8486;3,84768;72093,3
17;1645072,375;517326,335849279;10;397,3373;True;2280;46,03113;721,5229;90,68546;2,234376E+07
18;1615991,75;518535,962611244;10;359,5404;True;2280;43,28088;708,7683;146,7321;1,181988E+07
19;1386555,375;509420,409858847;10;318,6477;False;2157,706;49,44983;642,6063;174,3877;989311,6
20;1614773,25;555474,528084359;10;389,9574;False;2247,72;48,01648;718,4051;-10,96947;208876,2
21;1605958,75;437732,061022505;10;382,001;False;2249,174;48,81067;714,0215;69,6674;645001,3
22;1633838,125;386908,701266658;10;355,7792;True;2280;52,89404;716,5956;146,9004;1,572322E+07
23;1034399;266449,197156018;10;363,5158;False;1820,118;41,96606;568,3143;84,99638;510558,9
24;1535977,625;608402,508704493;10;361,3599;True;2280;42,11133;673,6744;295,3246;1,128252E+07
25;1656438,625;900661,51484375;10;357,3057;True;2280;42,45923;726,5082;251,7496;1,261994E+07
26;1621378,375;647565,100496915;10;379,7449;True;2280;47,19263;711,1309;85,67785;1,504114E+07
27;1500373,75;552347,721773521;9;358,4798;False;2158,505;49,72754;695,0987;0,05383825;447870,3
28;1339059,375;467735,300369363;10;379,7761;False;2067,545;44,85449;647,6568;39,81502;173740,8
29;1608333,625;530743,393597424;9;345,6391;False;2249,507;57,83252;714,9717;49,62979;161709,8
30;1518433,25;563621,565131482;10;396,5521;True;2280;46,35425;665,9795;251,2544;1,228737E+07
