Generation ;BestFitness      ;AverageFitnessPopulation ;BestNumberOfWheels ;BestCarMass ;BestRoadCompleted ;BestDistance ;BestEllapsedTime ;BestSumVelocities ;BestSumAccelerations ;BestSumForces
         1 ;2308,2109375     ;319,060603030026         ;                 9 ;366,4508    ;False             ;2314,343     ;113,3192         ;699,8691          ;49,84819             ;61320,99
         2 ;3558,9775390625  ;1272,31224312335         ;                 9 ;366,4508    ;True              ;2760         ;139,4847         ;826,421           ;8,496095             ;2010225
         3 ;3704,18798828125 ;1576,1588081602          ;                 8 ;347,7602    ;True              ;2760         ;99,0379          ;784,5816          ;21,18067             ;558120,4
         4 ;3604,978515625   ;1858,71278384496         ;                 9 ;350,0449    ;True              ;2760         ;115,0725         ;798,2445          ;69,60399             ;1550214
         5 ;3553,271484375   ;2013,88918595314         ;                 8 ;347,7602    ;True              ;2760         ;115,6877         ;762,4571          ;15,65731             ;2067286
         6 ;3697,28149414063 ;1900,76420077626         ;                 8 ;347,7602    ;True              ;2760         ;110,8529         ;785,8475          ;36,408               ;627185,9
         7 ;3646,98071289063 ;1562,78470918071         ;                 8 ;347,7602    ;True              ;2760         ;93,23389         ;791,915           ;7,388783             ;1130192
         8 ;3745,91748046875 ;1923,96330973227         ;                 8 ;350,0026    ;True              ;2760         ;149,2609         ;792,0284          ;18,06217             ;140825,1
         9 ;3665,15063476563 ;2090,3338053802          ;                 8 ;350,0026    ;True              ;2760         ;139,9237         ;821,5116          ;50,0713              ;948494,3
        10 ;3672,88940429688 ;2303,42552490234         ;                 8 ;353,0549    ;True              ;2760         ;106,8368         ;843,8958          ;6,811817             ;871106,7
        11 ;3584,12377929688 ;1807,13199019907         ;                 8 ;351,7026    ;True              ;2760         ;92,65088         ;776,8304          ;46,02134             ;1758762
        12 ;3610,95751953125 ;1707,47367823683         ;                 8 ;331,8142    ;True              ;2760         ;86,40735         ;806,7659          ;22,61948             ;1490425
        13 ;3586,68432617188 ;2269,96183998077         ;                 8 ;331,8142    ;True              ;2760         ;91,77368         ;838,82            ;31,27534             ;1733157
        14 ;3695,4404296875  ;2693,50088853836         ;                 8 ;353,0549    ;True              ;2760         ;99,54639         ;827,6277          ;18,46204             ;645595,3
        15 ;3701,39013671875 ;2347,32083367072         ;                 8 ;328,6006    ;True              ;2760         ;124,7842         ;858,473           ;67,59366             ;586098,1
        16 ;3580,21533203125 ;1777,45987989903         ;                 8 ;352,2041    ;True              ;2760         ;94,13745         ;784,0876          ;1,58034              ;1797846
        17 ;3693,82861328125 ;2435,32095127907         ;                 8 ;329,5182    ;True              ;2760         ;101,8269         ;858,1196          ;20,08375             ;661714,7
        18 ;3731,75561523438 ;2685,63095510136         ;                 8 ;329,5182    ;True              ;2760         ;92,84326         ;863,3781          ;24,22211             ;282444,9
        19 ;3608,15551757813 ;2420,46511637866         ;                 8 ;317,9684    ;True              ;2760         ;88,55103         ;848,2088          ;5,184555             ;1518444
        20 ;3661,6923828125  ;2013,57752537297         ;                 8 ;317,9684    ;True              ;2760         ;110,6948         ;838,7316          ;6,32391              ;983076,9
        21 ;3624,69677734375 ;2030,69629524499         ;                 8 ;363,5242    ;True              ;2760         ;93,5791          ;850,3211          ;39,24594             ;1353033
        22 ;3717,64013671875 ;2544,72826831397         ;                 8 ;392,5208    ;True              ;2760         ;88,38306         ;826,7178          ;21,74851             ;423599,2
        23 ;3642,1201171875  ;2488,20441246666         ;                 8 ;387,462     ;True              ;2760         ;87,15405         ;850,4758          ;23,32436             ;1178799
        24 ;3670,099609375   ;2458,41787592284         ;                 8 ;326,5946    ;True              ;2760         ;86,02368         ;823,0183          ;30,20605             ;899003,6
        25 ;3742,134765625   ;3031,08840036392         ;                 8 ;391,4292    ;True              ;2760         ;84,74976         ;838,8475          ;36,2542              ;178652,5
        26 ;3724,41455078125 ;3026,75067029218         ;                 8 ;354,9724    ;True              ;2760         ;91,17456         ;862,8475          ;54,44562             ;355854,3
        27 ;3750,2060546875  ;2601,2592539696          ;                 8 ;344,6895    ;True              ;2760         ;89,21411         ;765,6473          ;32,25472             ;97939,49
        28 ;3747,421875      ;2658,35887973756         ;                 9 ;352,1428    ;True              ;2760         ;75,93018         ;859,1799          ;41,37023             ;125782,2
        29 ;3742,01977539063 ;2613,97497583479         ;                 9 ;352,1428    ;True              ;2760         ;71,65698         ;780,911           ;20,22173             ;179802,2
        30 ;3697,53662109375 ;2610,88969011609         ;                 9 ;348,084     ;True              ;2760         ;91,85498         ;862,7141          ;57,44977             ;624633,9
