Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1965,63061523438;489,174743792531;8;203,5047;False;1493,512;50,91563;472,1185;35,07694;671935,7
2;2210,59399414063;988,909007605165;9;360,4713;False;1696,169;44,33864;514,425;14,19289;221344,5
3;2641,46166992188;1449,58830444813;9;362,3602;False;2026,589;48,96056;614,8723;-10,72999;95238,68
4;2658,21044921875;1367,99014056288;8;364,9954;False;2028,768;43,91016;629,4425;52,2337;28139,92
5;2365,87255859375;1216,11709834933;8;364,9954;False;1818,692;42,65112;547,1801;-11,01418;59372,61
6;2995,75024414063;1859,15280361082;10;269,0101;True;2280;50,28622;715,7502;26,5876;5016396
7;2953,2587890625;1918,45622686576;10;269,0101;True;2280;46,43549;673,2589;148,5153;9650017
8;2978,22412109375;2289,88156433105;10;260,6955;True;2280;44,00659;698,2242;142,4707;1,054405E+07
9;2986,27490234375;2225,21244506836;10;268,6358;True;2280;40,60205;706,275;162,1845;9036511
10;2976,89404296875;2449,19532470703;10;280,9203;True;2280;47,34894;696,8941;48,66332;8802284
11;2961,306640625;2337,25595092773;10;280,5531;True;2280;41,52325;681,3066;138,6397;1,164303E+07
12;2977,60522460938;1839,09116621986;10;309,0049;True;2280;47,46729;697,6052;103,8316;1,969033E+07
13;2943,03393554688;1834,26178894043;10;263,3987;True;2280;46,15326;663,0339;130,5997;1,159249E+07
14;2983,71435546875;2322,00823364258;10;263,3987;True;2280;50,51794;703,7144;92,15454;1,498496E+07
15;2948,63989257813;2015,02640218735;10;263,3987;True;2280;45,83252;668,6398;94,88184;5382331
16;2989,25927734375;2305,68012072407;10;306,4291;True;2280;50,4502;709,2593;-20,02683;572490,4
17;2964,88989257813;1742,49429024458;9;242,3322;True;2280;45,3208;684,89;114,0689;4296102
18;2979,7744140625;1760,68531764746;10;268,2439;True;2280;43,96704;699,7745;73,359;1,976428E+07
19;2950,75952148438;1993,08833620548;10;233,1957;True;2280;45,80603;670,7595;140,433;5267450
20;2975,2734375;2211,43389391899;10;225,4275;True;2280;49,74255;695,2734;46,82449;1448430
21;2975,90014648438;2233,34187617898;10;240,8333;True;2280;47,5719;695,9002;107,4646;9541491
22;2951,79565429688;1769,2458363533;10;240,8333;True;2280;53,80835;671,7957;-12,94803;1742203
23;2976,60034179688;1769,37683691755;10;240,8333;True;2280;47,22668;696,6003;81,06106;1306789
24;2952,92333984375;2109,11515744925;10;240,8333;True;2280;49,2959;672,9234;58,4385;1,182232E+07
25;2909,53442382813;1959,82773250639;10;287,5109;False;2249,612;44,81079;659,9225;-65,78633;38958,21
26;2929,50170898438;1825,08783791885;10;223,7843;False;2250,527;53,84204;678,9744;-29,12291;871332,3
27;2799,396484375;2034,28186035156;10;239,0824;False;2165,786;46,00146;633,6107;-60,6727;7855,317
28;2964,61181640625;1699,56575880051;10;244,3947;True;2280;48,64038;684,6119;34,45828;6328088
29;2971,5078125;1966,95076599121;10;243,8889;True;2280;51,08911;691,5078;48,63361;6871110
30;2966,60205078125;2262,64354858398;10;226,2908;True;2280;44,56152;686,6019;89,93183;9384624
