Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;786535;110712,344753046;9;381,0856;False;1572,319;44,55633;500,2387;100,4785;202560
2;1623948,25;298954,931356237;8;402,0227;True;2280;53,09323;712,258;208,6044;361794
3;1267726,625;241381,148021129;10;356,1806;False;1986,324;45,01744;638,2275;109,8902;256691,4
4;1197766,5;352011,717587576;8;402,0227;False;1945,684;48,73862;615,6017;31,20337;36123,84
5;1552284,375;366566,429172618;9;341,1104;False;2205,021;65,63416;703,9772;-35,39651;339521,4
6;1599405,125;415939,527147336;10;410,33;True;2280;43,75549;701,4935;322,2546;3643610
7;1645959,875;414618,337639033;10;410,33;True;2280;45,94525;721,9122;171,9956;6593268
8;1494913;554198,269142234;8;379,2076;False;2161,17;42,91211;691,7148;-75,26887;301120,4
9;1509159,125;536180,615113136;9;404,679;False;2166,508;62,4751;696,586;-74,97726;126670,9
10;1650049,25;688111,503566472;9;400,6481;True;2280;52,12579;723,7058;271,9298;6329995
11;1589826;417739,545074305;9;338,348;True;2280;43,95428;697,2921;381,698;5554097
12;1592390,25;433259,680388901;9;398,9042;False;2249,123;54,52527;708,0049;45,65965;493425,5
13;1609612;482750,664373207;9;385,9608;True;2280;40,22571;705,9702;377,8716;3332986
14;1591630,875;641826,20246268;9;377,3324;True;2280;44,04077;698,0837;271,1308;2,416471E+07
15;1662057,25;763268,483851883;9;354,1525;True;2280;51,89246;728,9725;75,5455;6563031
16;1430998,75;684280,893216872;9;389,6132;False;2120,598;53,3269;674,809;-41,85554;798317,2
17;1619173,25;989129,34296875;8;380,5768;True;2280;50,06433;710,1637;145,4963;4023282
18;1609567,125;806270,777662164;9;381,7457;False;2253,113;48,42542;714,3748;127,5478;805980,4
19;1645263,75;890286,824198666;9;381,7457;True;2280;45,77454;721,6069;211,3262;5940156
20;1615432;1278101,24375;9;385,2807;True;2280;40,16199;708,5228;273,9329;1,063748E+07
21;1586179,875;1093824,51247891;9;394,4522;True;2280;40,65137;695,6929;319,2661;2878541
22;1619242,125;1001991,59942348;9;383,4609;True;2280;44,81226;710,1939;205,1301;1502354
23;1644253,5;969257,484282303;9;384,563;True;2280;49,48474;721,1638;177,1791;1,048364E+07
24;1628987,125;1089147,95473633;9;384,563;True;2280;46,7771;714,468;4,831041;4541006
25;1647306,125;1088056,2140625;8;358,8643;True;2280;48,86304;722,5027;117,1157;9183524
26;1647698,25;1125130,9578125;9;374,9095;True;2280;59,30347;722,6747;-94,76768;141350,6
27;1645943;1199368,1625;9;360,5405;True;2280;49,92212;721,9048;135,541;3793356
28;1653417,625;937819,060721701;9;356,7563;True;2280;45,81592;725,1832;171,8555;8382287
29;1630163,25;866315,18125;9;356,7563;True;2280;43,36255;714,9839;244,7469;1,554927E+07
30;1626953,125;1064765,55794985;9;329,1953;False;2249,329;45,91577;723,306;9,960835;1285613
