Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1044,16735839844;391,5413733555;10;309,0843;False;805,7064;27,37144;238,461;10,00645;18706,82
2;1527,50769042969;474,968228727207;10;313,8962;False;1189,494;48,15387;338,6342;3,582418;521101,5
3;1624,759765625;810,544614988565;10;313,8962;False;1224,404;44,84848;400,3559;6,778689;19855,45
4;1983,37817382813;1032,01963585615;10;313,8962;False;1490,856;43;492,5223;10,64211;1081404
5;2302,396484375;986,057232609391;7;227,0076;False;1735,334;36,9313;567,0628;-0,8281107;376512,6
6;2394,94580078125;963,334040464461;7;227,4484;False;1814,425;45,68622;580,521;2,345867;143599,1
7;2188,99047851563;1125,32491266727;8;329,3261;False;1651,809;42,77722;537,1818;18,34452;192455,8
8;2129,77026367188;1265,28540878296;9;338,3261;False;1610,695;44,22003;519,0757;17,35365;206694
9;2288,4716796875;974,441646146774;6;218,1164;False;1734,68;48,6806;553,7917;1,207018;64727,18
10;2290,45581054688;1267,84396830499;8;321,3691;False;1734,859;52,61713;555,5964;-14,48641;21973,82
11;2676,52368164063;1156,7205690816;9;330,3691;False;2026,911;51,44843;649,613;-1,60969;689117,2
12;1980,37548828125;1239,91411954761;8;282,5815;False;1495,086;43,60388;485,2894;11,96853;10833,67
13;2271,79272460938;1172,53260858357;9;338,3261;False;1734,264;46,91016;537,5292;-3,048065;430964,8
14;2673,1455078125;1302,30795717239;9;330,3691;False;2028,969;51,84302;644,1766;-33,44717;78253,13
15;2877,65112304688;1439,75809073448;9;328,803;False;2253,941;52,93066;623,7101;-25,1862;185915
16;2623,75073242188;1681,79907836914;8;316,6945;False;1985,691;46,91724;638,0598;-17,40544;285469,8
17;2652,705078125;1631,80589447021;8;333,739;False;2071,827;45,32837;580,8776;-14,08328;158875,2
18;2974,3134765625;1682,79236566573;8;337,0879;True;2280;42,70105;694,3136;44,1895;6124097
19;2866,1669921875;1736,14841880798;9;327,3144;True;2280;44,28674;586,1671;45,88015;1,077776E+07
20;2901,03857421875;1938,24703369141;8;336,408;True;2280;44,54126;621,0387;56,60962;5392312
21;2891,11401367188;1759,9283469677;8;336,3516;True;2280;39,10034;611,114;102,4492;6945863
22;2919,22631835938;1874,25103502274;10;329,5599;True;2280;40,02832;639,2263;114,0166;1,954533E+07
23;2835,54516601563;1618,57400276838;9;336,9478;False;2164,911;49,53381;670,6338;-3,450043;459292,3
24;2905,7353515625;1646,7085611105;9;336,9478;True;2280;43,15894;625,7353;55,16557;3257215
25;2892,32250976563;1837,75754436851;9;365,2057;False;2251,606;52,62598;640,7166;24,73731;210211,8
26;2856,11279296875;2103,31270141602;10;327,6406;False;2248,783;48,84058;607,3293;1,312116;188255
27;2911,05346679688;1991,90700531006;10;328,6789;True;2280;44,57739;631,0534;36,95812;1,005974E+07
28;2797,01416015625;1914,77175906859;9;341,1844;False;2203,628;52,33154;593,3857;-18,70564;282690,6
29;2900,7119140625;2000,90702857971;10;361,0879;True;2280;38,96216;620,7119;84,05518;8528560
30;2910,04638671875;1815,55248838067;9;325,1181;True;2280;48,93311;630,0463;38,24302;4512720
