Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1102,9150390625;180,885987438774;10;375,1604;False;2073,09;48,56477;663,7019;110,1279;461385,4
2;989,170654296875;438,895883898344;10;248,6756;False;1859,325;45,31485;595,0803;-59,25639;54962,45
3;1173,75866699219;609,974639519304;9;339,5791;False;2206,279;53,11081;706,1941;-35,47134;343657,5
4;1308,49365234375;791,724248504639;9;347,6431;True;2280;48,05194;684,936;281,5526;473229
5;1124,255859375;834,351364135742;9;370,5244;False;2114,771;48,35901;668,7023;74,70861;484421,4
6;1308;942,137222290039;9;370,5244;True;2280;48,5611;680,0005;253,2998;1,565685E+07
7;1312,24975585938;923,760235744715;9;370,5244;True;2280;51,96472;722,497;165,2706;2081687
8;1311,84045410156;953,483075714111;9;370,5244;True;2280;61,12524;718,4042;50,25677;3960910
9;1311,90649414063;976,315385437012;9;372,6173;True;2280;45,7276;719,065;272,2281;817422,3
10;1173,388671875;650,253379150992;9;370,5244;False;2205,999;59,44147;703,8914;6,330201;163727,6
11;1310,66809082031;864,157177734375;9;353,467;True;2280;46,70178;706,6805;284,4956;8407136
12;1312,9375;959,252493286133;9;372,6173;True;2280;51,5578;729,3754;136,47;2844690
13;1311,38024902344;845,28791202479;9;372,6173;True;2280;52,90747;713,8026;141,4414;3856318
14;1309,90454101563;803,870662307739;9;370,8341;True;2280;55,18591;699,0458;150,1835;5639818
15;1196,49560546875;822,942145729065;9;372,6173;False;2249,896;52,76111;715,4763;-37,14067;123238,4
16;1197,95141601563;847,591188907623;9;372,6173;False;2252,176;63,75037;718,6342;60,87258;377878,9
17;1312,90234375;781,642815089133;9;372,6173;True;2280;54,78418;729,0229;142,619;603984,4
18;1312,57824707031;792,588578984141;9;372,6173;True;2280;49,04175;725,7824;238,9459;6655082
19;1312,93200683594;844,738139683777;9;372,6173;True;2280;48,47266;729,3206;291,7623;2158564
20;1311,94201660156;852,807932076789;9;372,6173;True;2280;45,98779;719,4202;235,6303;9617846
21;1309,87841796875;960,748852539062;9;374,7577;True;2280;48,01001;698,7842;216,2016;5853513
22;1312,53955078125;674,287967644073;9;374,7577;True;2280;58,13611;725,395;50,43661;1098810
23;1312,64672851563;891,851236200333;9;372,6173;True;2280;53,48145;726,4677;113,2422;3143540
24;1312,75317382813;836,223459036066;9;371,416;True;2280;51,86316;727,532;146,5536;1602268
25;1313,08850097656;857,862411308289;9;371,416;True;2280;48,49548;730,8846;252,9852;5525152
26;1310,04174804688;912,705731201172;10;380,5887;True;2280;44,34351;700,4177;194,9211;4545846
27;1196,51232910156;760,140462178574;10;372,119;False;2249,158;53,91528;719,3316;-14,89082;216120
28;1197,32592773438;818,288439023495;10;386,3949;False;2250,658;49,06616;719,9695;97,75005;725436,1
29;1312,49658203125;913,042016983032;10;412,5596;True;2280;46,10693;724,9658;200,2015;465743,7
30;1175,64270019531;787,698261976242;10;372,119;False;2209,199;55,62695;710,4307;-2,996301;585859
