Generation;BestFitness;AverageFitnessPopulation;BestNumberOfWheels;BestCarMass;BestRoadCompleted;BestDistance;BestEllapsedTime;BestSumVelocities;BestSumAccelerations;BestSumForces
1;1483552,125;245863,836537802;9;296,6829;False;2160,631;48,44952;686,6291;182,3586;144967
2;829605,25;99835,5900509143;10;364,6458;False;1616,271;52,89073;513,2835;20,88714;594315,4
3;750236,3125;140062,573201423;10;420,5831;False;1537,428;36,64334;487,9815;13,94578;42628,32
4;680833,375;166378,052935122;9;299,6277;False;1455,524;40,59619;467,7583;88,60503;99312,4
5;682540,3125;302949,065248816;10;317,1475;False;1457,426;55,31412;468,3191;-55,80966;131134,6
6;1326622,125;340085,833856991;10;348,0255;False;2039,84;50,60577;650,3558;-27,59108;93647,12
7;966412,0625;351512,320076356;9;309,8726;False;1736,829;53,62946;556,4233;65,94501;312852,2
8;1047489,3125;401302,437809976;10;305,6665;False;1820,471;44,24042;575,3945;14,58628;61926,82
9;1609206,5;448187,388030532;10;345,233;False;2249,155;50,12671;715,4717;-2,051559;214349,4
10;1152451,25;387027,91538806;10;315,0317;False;1907,226;46,3255;604,2553;-4,473502;42616,93
11;1296455,5;483634,776163261;10;353,5182;False;2015,372;55,69946;643,2836;-2,328964;36263,84
12;1154793,875;483967,946336593;10;330,7317;False;1900,539;45,03259;607,6139;125,7496;224685,6
13;964974,625;424689,950570694;10;320,858;False;1735,152;40,73291;556,1326;27,0385;35997,86
14;1614614,375;510170,82704569;10;306,7379;False;2249,067;60,09387;717,9041;51,41074;214391,3
15;992292,375;420401,226198412;10;331,7849;False;1774,835;52,91235;559,0898;80,97068;474538,9
16;1308755,125;499897,002958898;10;301,5552;False;2027,91;47,89307;645,3715;51,2607;429267,9
17;1496689,25;559991,360184193;10;343,1367;False;2164,921;45,81421;691,3367;-23,86299;60435,24
18;1641118,875;798513,303125;10;341,9477;True;2280;52,33521;719,789;186,3482;441551,6
19;1535102,25;683006,2296875;9;333,3946;False;2203,956;61,72498;696,5214;12,62827;491061,8
20;1060186,125;536136,914990234;10;325,8553;False;1821,129;40,41138;582,1586;16,47932;833564,6
21;1647749,875;765615,496835897;10;322,7314;True;2280;45,90271;722,6973;203,4555;4201503
22;1549759,625;630392,550556698;9;327,3872;True;2280;41,84509;679,7191;312,1586;8032982
23;1412762;740224,00246582;10;288,739;False;2118,451;58,40247;666,8845;48,58378;206854,7
24;1569239,75;654263,884660399;9;377,8727;False;2249,456;52,11316;697,6085;16,80838;285309,7
25;1477529;866050,08046875;8;300,823;False;2165,487;55,7356;682,3079;-4,349488;813370,3
26;1625622,25;809690,621875;10;382,5943;True;2280;49,20801;712,9922;81,4564;6615777
27;1618617,375;632833,855789594;10;294,2556;True;2280;50,646;709,9199;191,8119;4691519
28;1359244,625;613457,141935116;10;345,0276;False;2075,836;42,98315;654,7938;-1,792592;33780
29;1565142,125;755779,013429171;10;357,7942;True;2280;48,34644;686,4658;200,9712;1,230515E+07
30;1257660,5;644766,865625;8;380,5034;False;1987,406;51,32861;632,8152;17,78284;62760,31
